Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid
MAR,2006,72.0216,486.5827300666032,641.931875341269,18.2,91.30053152582045,8.687082459647925,75883823300.85452,2438.12646484375,6488.673828125,30771178.0,55.9627589629824,22.753081410090235,12.304168098197046,12.564100380909702,67.09836432892673,0
MAR,2007,72.952,495.4718135881178,663.749418497792,16.6,92.08650774145984,7.920029491275497,86947913286.72797,2755.5859375,6620.59033203125,31186468.0,56.5303841299064,22.42293927852895,9.875246648699497,12.601749943983869,67.1297333632086,0
MAR,2008,76.8794,507.9323233403277,695.3257826085154,14.4,92.05911704604856,7.950910041343914,101822906949.06345,3183.20043945313,6901.95068359375,31606767.0,57.1254169272616,24.315582255472584,10.864961794311974,12.639399507058032,67.17678691463142,0
MAR,2009,76.9193,504.8585976271197,709.2553293585313,14.2,84.60262612301314,15.479520847730935,101154952240.8807,3119.58862304688,7063.72705078125,32030778.0,57.7306189138977,22.259574863969988,11.965047552956202,12.6770490701322,67.22518485323774,0
MAR,2010,80.7371,526.0985283035775,732.9900598194796,13.9,81.88574082675338,18.20402820588608,100865329473.43983,3067.9853515625,7210.63671875,32467016.0,58.3287516486646,23.711912690035472,11.962081270923148,12.714698633206362,67.1931436253641,0
MAR,2011,86.1303,559.3532790631474,783.6515317482782,11.8,88.83849339380792,11.332912640504832,110080631332.37537,3301.98876953125,7503.79296875,32912588.0,58.902576690412,24.506519188548268,12.081902609845413,12.719233699305402,67.45193815818956,0
MAR,2012,88.9103,559.6565392141972,835.4609100261035,10.9,90.80555354689422,9.47957191409357,106937392311.12907,3164.17724609375,7628.64404296875,33355241.0,59.4348555979895,24.265977350763183,11.32975115227926,12.723768765404436,68.12233923369931,0
MAR,2013,89.8341,554.3220766714512,850.2238885417363,11.6,80.00495715600879,15.6662417675802,115739287305.0801,3379.7431640625,7839.0322265625,33787571.0,59.9083499302469,24.15312888450839,12.358366193250609,12.728303831503474,68.53013667936365,0
MAR,2014,91.3786,555.5910403027208,882.8298267084308,11.1,82.10250476449768,13.748196297304654,119130841411.6636,3435.40698242188,7951.79833984375,34204780.0,60.3030486171654,25.813267509041857,10.35314652495272,12.73283889760251,67.40421241317499,0
MAR,2015,93.6738,563.6031066383621,886.3085170801271,11.2,80.435687970527,15.5367932083934,110413823841.59187,3146.24780273438,8198.80859375,34607588.0,60.6417124737154,25.622681726228738,11.796193184611344,12.737373963701543,67.3246695048174,0
MAR,2016,94.0558,558.0620239004734,903.4516495616068,11.1,80.19663358327371,15.913661678230298,111572947004.91748,3140.85546875,8141.9404296875,35023457.0,60.9657656537179,25.68510457857398,10.32196511031767,12.771207707819856,69.17992381805959,0
MAR,2017,98.0056,577.5820989171112,931.6039838412892,10.4,80.96773221656474,15.364255370431742,118540573367.84428,3296.52661132813,8450.0087890625,35446392.0,61.2761057031842,25.405454806575012,11.160288799237527,12.79764732242886,69.5643024871163,0
MAR,2018,100.0291,577.1785729180357,923.0251541863004,10.9,77.3456910750677,19.18810195136931,127341147581.81831,3501.69799804688,8611.75,35839760.0,61.5695822753314,25.24135380681823,11.305540240136477,12.820053775487342,68.39750660990364,0
MAR,2019,107.7472,614.5027335656354,940.186570352384,10.7,77.76230492196878,19.24909963985594,128920266409.4575,3508.09765625,8768.17578125,36210898.0,61.8430450233765,25.249952413061084,10.842401737003923,12.843580551198746,66.34978041676003,0
MAR,2020,104.2614,575.699296767116,916.1876621737993,11.1,78.27042141002596,18.685615138805673,121353645057.14368,3268.0302734375,8054.56298828125,36584208.0,62.0933436005366,26.043643387243304,10.663640142059236,12.866883262379568,67.02052296661438,1
